class_weight,max_depth,min_samples_leaf,n_estimators,val_accuracy,val_f1_macro,val_recall_macro
balanced,,2,200,0.9304,0.8912,0.863
balanced,,2,400,0.9304,0.8912,0.863
balanced,10.0,2,200,0.9304,0.8912,0.863
balanced,10.0,2,400,0.9304,0.8912,0.863
balanced,20.0,2,200,0.9304,0.8912,0.863
balanced,20.0,2,400,0.9304,0.8912,0.863
balanced,30.0,2,200,0.9304,0.8912,0.863
balanced,30.0,2,400,0.9304,0.8912,0.863
balanced_subsample,,2,400,0.9304,0.8912,0.863
balanced_subsample,,4,700,0.9304,0.8912,0.863
balanced_subsample,20.0,2,400,0.9304,0.8912,0.863
balanced_subsample,20.0,4,700,0.9304,0.8912,0.863
balanced_subsample,30.0,2,400,0.9304,0.8912,0.863
balanced_subsample,30.0,4,700,0.9304,0.8912,0.863
balanced_subsample,,4,200,0.9276,0.8892,0.8619
balanced_subsample,20.0,4,200,0.9276,0.8892,0.8619
balanced_subsample,30.0,4,200,0.9276,0.8892,0.8619
balanced_subsample,,4,400,0.9276,0.8868,0.858
balanced_subsample,10.0,4,400,0.9276,0.8868,0.858
balanced_subsample,20.0,4,400,0.9276,0.8868,0.858
balanced_subsample,30.0,4,400,0.9276,0.8868,0.858
balanced,,4,400,0.9248,0.8848,0.8569
balanced,,4,700,0.9248,0.8848,0.8569
balanced,10.0,4,200,0.9248,0.8848,0.8569
balanced,10.0,4,400,0.9248,0.8848,0.8569
balanced,10.0,4,700,0.9248,0.8848,0.8569
balanced,20.0,4,400,0.9248,0.8848,0.8569
balanced,20.0,4,700,0.9248,0.8848,0.8569
balanced,30.0,4,400,0.9248,0.8848,0.8569
balanced,30.0,4,700,0.9248,0.8848,0.8569
balanced_subsample,10.0,4,700,0.9248,0.8848,0.8569
balanced,10.0,1,200,0.9248,0.8824,0.853
balanced,,1,400,0.9276,0.8792,0.8505
balanced,,1,700,0.9276,0.8792,0.8505
balanced,,2,700,0.9276,0.8792,0.8505
balanced,10.0,1,400,0.9276,0.8792,0.8505
balanced,10.0,1,700,0.9276,0.8792,0.8505
balanced,20.0,1,400,0.9276,0.8792,0.8505
balanced,20.0,1,700,0.9276,0.8792,0.8505
balanced,20.0,2,700,0.9276,0.8792,0.8505
balanced,30.0,1,400,0.9276,0.8792,0.8505
balanced,30.0,1,700,0.9276,0.8792,0.8505
balanced,30.0,2,700,0.9276,0.8792,0.8505
balanced_subsample,,1,200,0.9276,0.8792,0.8505
balanced_subsample,,1,400,0.9276,0.8792,0.8505
balanced_subsample,,2,200,0.9276,0.8792,0.8505
balanced_subsample,,2,700,0.9276,0.8792,0.8505
balanced_subsample,10.0,1,700,0.9276,0.8792,0.8505
balanced_subsample,10.0,2,400,0.9276,0.8792,0.8505
balanced_subsample,10.0,2,700,0.9276,0.8792,0.8505
balanced_subsample,20.0,1,200,0.9276,0.8792,0.8505
balanced_subsample,20.0,1,400,0.9276,0.8792,0.8505
balanced_subsample,20.0,2,200,0.9276,0.8792,0.8505
balanced_subsample,20.0,2,700,0.9276,0.8792,0.8505
balanced_subsample,30.0,1,200,0.9276,0.8792,0.8505
balanced_subsample,30.0,1,400,0.9276,0.8792,0.8505
balanced_subsample,30.0,2,200,0.9276,0.8792,0.8505
balanced_subsample,30.0,2,700,0.9276,0.8792,0.8505
balanced,10.0,2,700,0.9248,0.8772,0.8494
balanced_subsample,,1,700,0.9248,0.8748,0.8455
balanced_subsample,10.0,1,400,0.9248,0.8748,0.8455
balanced_subsample,10.0,2,200,0.9248,0.8748,0.8455
balanced_subsample,20.0,1,700,0.9248,0.8748,0.8455
balanced_subsample,30.0,1,700,0.9248,0.8748,0.8455
balanced,,4,200,0.922,0.8728,0.8444
balanced,20.0,4,200,0.922,0.8728,0.8444
balanced,30.0,4,200,0.922,0.8728,0.8444
balanced_subsample,10.0,4,200,0.922,0.8728,0.8444
balanced_subsample,10.0,1,200,0.922,0.8704,0.8405
balanced,,1,200,0.9248,0.8665,0.838
balanced,20.0,1,200,0.9248,0.8665,0.838
balanced,30.0,1,200,0.9248,0.8665,0.838
,,2,700,0.922,0.8621,0.833
,10.0,1,400,0.922,0.8621,0.833
,10.0,1,700,0.922,0.8621,0.833
,20.0,2,700,0.922,0.8621,0.833
,30.0,2,700,0.922,0.8621,0.833
,,2,200,0.9192,0.8576,0.828
,,2,400,0.9192,0.8576,0.828
,20.0,2,200,0.9192,0.8576,0.828
,20.0,2,400,0.9192,0.8576,0.828
,30.0,2,200,0.9192,0.8576,0.828
,30.0,2,400,0.9192,0.8576,0.828
,,1,700,0.9192,0.8484,0.8205
,10.0,1,200,0.9192,0.8484,0.8205
,20.0,1,700,0.9192,0.8484,0.8205
,30.0,1,700,0.9192,0.8484,0.8205
,,1,200,0.9164,0.844,0.8155
,,1,400,0.9164,0.844,0.8155
,10.0,2,400,0.9164,0.844,0.8155
,10.0,2,700,0.9164,0.844,0.8155
,20.0,1,200,0.9164,0.844,0.8155
,20.0,1,400,0.9164,0.844,0.8155
,30.0,1,200,0.9164,0.844,0.8155
,30.0,1,400,0.9164,0.844,0.8155
,10.0,2,200,0.9164,0.8338,0.808
,10.0,4,200,0.9136,0.8293,0.803
,,4,200,0.9136,0.818,0.7955
,,4,400,0.9136,0.818,0.7955
,,4,700,0.9136,0.818,0.7955
,20.0,4,200,0.9136,0.818,0.7955
,20.0,4,400,0.9136,0.818,0.7955
,20.0,4,700,0.9136,0.818,0.7955
,30.0,4,200,0.9136,0.818,0.7955
,30.0,4,400,0.9136,0.818,0.7955
,30.0,4,700,0.9136,0.818,0.7955
,10.0,4,400,0.9109,0.8136,0.7905
,10.0,4,700,0.9109,0.8136,0.7905
