feature,ks_0vs1,p_0vs1,ks_0vs4,p_0vs4
StudyTimePerAbsence,0.224,0.0007,0.736,0.0
ParentalSupport,0.208,0.0021,0.317,0.0
SupportTutoringInteraction,0.169,0.0216,0.242,0.0
Absences,0.151,0.0537,0.779,0.0
SupportActivityInteraction,0.143,0.0764,0.287,0.0
AcademicEngagementScore,0.141,0.0832,0.641,0.0
StudyTimeWeekly,0.115,0.2437,0.212,0.0002
Extracurricular,0.094,0.4742,0.152,0.0185
Tutoring,0.081,0.6632,0.214,0.0002
Ethnicity,0.066,0.861,0.083,0.4856
Music,0.064,0.8881,0.01,1.0
Gender,0.051,0.9795,0.061,0.8274
ActivityCount,0.051,0.9827,0.141,0.0367
ParentalEducation,0.033,1.0,0.051,0.9508
Volunteering,0.023,1.0,0.024,1.0
Sports,0.013,1.0,0.058,0.8763
Age,0.008,1.0,0.014,1.0
