batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,50,0.0005,adam,44,0.8579,0.7732,0.755,0.5448
32,100,0.0005,adam,44,0.8579,0.7732,0.755,0.5448
32,150,0.0005,adam,44,0.8579,0.7732,0.755,0.5448
128,50,0.0005,adam,50,0.8496,0.7664,0.7424,0.5529
128,100,0.0005,adam,64,0.8496,0.7664,0.7424,0.5529
128,150,0.0005,adam,64,0.8496,0.7664,0.7424,0.5529
32,100,0.0001,adam,100,0.8552,0.7657,0.7474,0.5529
32,150,0.0001,adam,125,0.8468,0.7649,0.7439,0.5478
64,50,0.0005,adam,50,0.8496,0.758,0.7359,0.5331
64,100,0.0005,adam,52,0.8496,0.758,0.7359,0.5331
64,150,0.0005,adam,52,0.8496,0.758,0.7359,0.5331
64,150,0.0001,adam,129,0.8524,0.7553,0.7365,0.5659
32,150,0.0001,rmsprop,124,0.8412,0.7506,0.7316,0.5604
128,50,0.001,adam,50,0.8384,0.7447,0.7248,0.5526
128,100,0.001,adam,50,0.8384,0.7447,0.7248,0.5526
128,150,0.001,adam,50,0.8384,0.7447,0.7248,0.5526
32,100,0.0001,rmsprop,100,0.8384,0.7435,0.7303,0.5717
128,150,0.0001,adam,150,0.8496,0.7417,0.7243,0.5907
64,50,0.001,adam,42,0.8329,0.7374,0.7121,0.5818
64,100,0.001,adam,42,0.8329,0.7374,0.7121,0.5818
64,150,0.001,adam,42,0.8329,0.7374,0.7121,0.5818
32,50,0.001,adam,32,0.8301,0.7298,0.7128,0.5745
32,100,0.001,adam,32,0.8301,0.7298,0.7128,0.5745
32,150,0.001,adam,32,0.8301,0.7298,0.7128,0.5745
32,150,0.001,sgd,150,0.8468,0.7241,0.7075,0.5396
64,100,0.0001,adam,100,0.8384,0.7215,0.7077,0.5856
32,100,0.001,sgd,100,0.844,0.7198,0.7043,0.582
32,150,0.0005,sgd,150,0.8496,0.7145,0.7033,0.613
32,50,0.0001,adam,50,0.8357,0.7117,0.6966,0.6082
64,150,0.0001,rmsprop,150,0.8301,0.7101,0.6941,0.5652
128,150,0.0001,rmsprop,150,0.8357,0.7057,0.6896,0.6027
64,100,0.0001,rmsprop,100,0.8301,0.7046,0.6902,0.5991
128,50,0.0005,rmsprop,50,0.8384,0.7009,0.6882,0.5896
128,100,0.0005,rmsprop,64,0.8384,0.7009,0.6882,0.5896
128,150,0.0005,rmsprop,64,0.8384,0.7009,0.6882,0.5896
32,50,0.0005,rmsprop,37,0.8189,0.6965,0.6822,0.6046
32,100,0.0005,rmsprop,37,0.8189,0.6965,0.6822,0.6046
32,150,0.0005,rmsprop,37,0.8189,0.6965,0.6822,0.6046
64,150,0.001,sgd,150,0.8468,0.6949,0.6909,0.6155
32,50,0.0001,rmsprop,50,0.8245,0.6916,0.6805,0.6318
128,100,0.0001,adam,100,0.8189,0.6915,0.6786,0.6338
64,50,0.0005,rmsprop,50,0.8245,0.6837,0.6759,0.5931
64,100,0.0005,rmsprop,53,0.8245,0.6837,0.6759,0.5931
64,150,0.0005,rmsprop,53,0.8245,0.6837,0.6759,0.5931
64,50,0.0001,rmsprop,50,0.8273,0.6828,0.6734,0.6596
64,50,0.001,rmsprop,39,0.805,0.6781,0.6739,0.631
64,100,0.001,rmsprop,39,0.805,0.6781,0.6739,0.631
64,150,0.001,rmsprop,39,0.805,0.6781,0.6739,0.631
128,100,0.0001,rmsprop,100,0.8134,0.6742,0.6613,0.6418
64,50,0.0001,adam,50,0.8134,0.6714,0.6588,0.6427
32,50,0.001,rmsprop,34,0.7939,0.669,0.6536,0.6645
32,100,0.001,rmsprop,34,0.7939,0.669,0.6536,0.6645
32,150,0.001,rmsprop,34,0.7939,0.669,0.6536,0.6645
128,50,0.001,rmsprop,46,0.805,0.6635,0.6591,0.636
128,100,0.001,rmsprop,46,0.805,0.6635,0.6591,0.636
128,150,0.001,rmsprop,46,0.805,0.6635,0.6591,0.636
32,100,0.0005,sgd,100,0.8189,0.6378,0.6428,0.662
64,100,0.001,sgd,100,0.8189,0.6175,0.634,0.6659
32,50,0.001,sgd,50,0.8134,0.6104,0.6272,0.6633
128,50,0.0001,adam,50,0.8106,0.6076,0.6238,0.7002
128,150,0.001,sgd,150,0.8078,0.6035,0.6209,0.7016
64,150,0.0005,sgd,150,0.805,0.5999,0.6175,0.7039
128,50,0.0001,rmsprop,50,0.7911,0.5849,0.6052,0.7227
64,50,0.001,sgd,50,0.7883,0.5791,0.5941,0.7667
128,100,0.001,sgd,100,0.7855,0.5766,0.5935,0.7628
64,100,0.0005,sgd,100,0.7855,0.5756,0.5909,0.7665
32,50,0.0005,sgd,50,0.7799,0.568,0.5825,0.7659
128,150,0.0005,sgd,150,0.7744,0.5595,0.5759,0.8013
32,150,0.0001,sgd,150,0.7632,0.5436,0.5562,0.831
64,50,0.0005,sgd,50,0.7409,0.5081,0.5185,0.8505
128,50,0.001,sgd,50,0.7298,0.4926,0.5073,0.8513
128,100,0.0005,sgd,100,0.7242,0.4854,0.5007,0.848
32,100,0.0001,sgd,100,0.7019,0.4518,0.4662,0.8818
64,150,0.0001,sgd,150,0.6574,0.3643,0.3984,0.9267
128,50,0.0005,sgd,50,0.6267,0.2871,0.3565,0.963
64,100,0.0001,sgd,100,0.5627,0.2274,0.2747,1.0275
32,50,0.0001,sgd,50,0.5487,0.2119,0.2577,1.032
128,150,0.0001,sgd,150,0.507,0.1481,0.2046,1.0986
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2035
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3176
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1977
